Scaffold	Length
DPSCF300120	504859
DPSCF300121	521519
DPSCF300122	648615
DPSCF300123	497741
DPSCF300124	522482
DPSCF300125	490974
DPSCF300126	513762
DPSCF300127	591063
DPSCF300128	762291
DPSCF300129	743137
DPSCF300130	531285
DPSCF300131	856660
DPSCF300132	456176
DPSCF300133	455978
DPSCF300134	453170
DPSCF300135	452027
DPSCF300136	447763
DPSCF300137	487851
DPSCF300138	762551
DPSCF300139	442976
DPSCF300140	726725
DPSCF300141	453882
DPSCF300142	434432
DPSCF300143	800348
DPSCF300144	445942
DPSCF300145	430170
DPSCF300146	429821
DPSCF300147	647186
DPSCF300148	419485
DPSCF300149	635903
DPSCF300150	751633
DPSCF300151	417021
DPSCF300152	500509
DPSCF300153	414562
DPSCF300154	422320
DPSCF300155	415916
DPSCF300156	403206
DPSCF300157	398210
DPSCF300158	397306
DPSCF300159	396746
DPSCF300160	722724
DPSCF300161	389913
DPSCF300162	387201
DPSCF300163	385526
DPSCF300164	382793
DPSCF300165	377578
DPSCF300166	377463
DPSCF300167	386798
DPSCF300168	740435
DPSCF300169	377544
DPSCF300170	641136
DPSCF300171	673784
DPSCF300172	362640
DPSCF300173	962929
DPSCF300174	633084
DPSCF300175	356036
DPSCF300176	968699
DPSCF300177	689637
DPSCF300178	352568
DPSCF300179	350158
DPSCF300180	434958
DPSCF300181	346756
DPSCF300182	697181
DPSCF300183	386314
DPSCF300184	337700
DPSCF300185	399805
DPSCF300186	336967
DPSCF300187	336485
DPSCF300188	611140
DPSCF300189	329597
DPSCF300190	325714
DPSCF300191	1043403
DPSCF300192	446857
DPSCF300193	399725
DPSCF300194	337839
DPSCF300195	619585
DPSCF300196	821992
DPSCF300197	377849
DPSCF300198	342599
DPSCF300199	314212
DPSCF300200	313791
DPSCF300201	310911
DPSCF300202	310177
DPSCF300203	496585
DPSCF300204	410553
DPSCF300205	307373
DPSCF300206	307244
DPSCF300207	307182
DPSCF300208	662087
DPSCF300209	305527
DPSCF300210	305227
DPSCF300211	304722
DPSCF300212	884319
DPSCF300213	302380
DPSCF300214	353912
DPSCF300215	299869
DPSCF300216	395816
DPSCF300217	298821
DPSCF300218	432314
DPSCF300219	603265
DPSCF300220	294570
DPSCF300221	486100
DPSCF300222	702133
DPSCF300223	794396
DPSCF300224	291301
DPSCF300225	291036
DPSCF300226	290344
DPSCF300227	290157
DPSCF300228	289628
DPSCF300229	435993
DPSCF300230	404787
DPSCF300231	706511
DPSCF300232	741013
DPSCF300233	280101
DPSCF300234	648389
DPSCF300235	550553
DPSCF300236	593214
DPSCF300237	427897
DPSCF300238	313945
DPSCF300239	350609
DPSCF300240	273450
DPSCF300241	273063
DPSCF300242	269622
DPSCF300243	265925
DPSCF300244	265556
DPSCF300245	502298
DPSCF300246	264117
DPSCF300247	263819
DPSCF300248	263020
DPSCF300249	313640
DPSCF300250	453031
DPSCF300251	436042
DPSCF300252	313737
DPSCF300253	259860
DPSCF300254	354854
DPSCF300255	257784
DPSCF300256	399821
DPSCF300257	253368
DPSCF300258	412330
DPSCF300259	357212
DPSCF300260	336615
DPSCF300261	248039
DPSCF300262	690310
DPSCF300263	290199
DPSCF300264	246706
DPSCF300265	419622
DPSCF300266	291388
DPSCF300267	243679
DPSCF300268	256506
DPSCF300269	239297
DPSCF300270	237901
DPSCF300271	385968
DPSCF300272	237254
DPSCF300273	392995
DPSCF300274	234454
DPSCF300275	284458
DPSCF300276	447821
DPSCF300277	294216
DPSCF300278	228555
DPSCF300279	230650
DPSCF300280	223569
DPSCF300281	389601
DPSCF300282	221592
DPSCF300283	316375
DPSCF300284	218866
DPSCF300285	218027
DPSCF300286	297155
DPSCF300287	439889
DPSCF300288	216556
DPSCF300289	464205
DPSCF300290	421625
DPSCF300291	213629
DPSCF300292	212706
DPSCF300293	208322
DPSCF300294	250053
DPSCF300295	205054
DPSCF300296	278704
DPSCF300297	487071
DPSCF300298	393655
DPSCF300299	246119
DPSCF300300	253335
DPSCF300301	196055
DPSCF300302	193522
DPSCF300303	343463
DPSCF300304	192353
DPSCF300305	190452
DPSCF300306	231560
DPSCF300307	189519
DPSCF300308	187530
DPSCF300309	186834
DPSCF300310	184856
DPSCF300311	182731
DPSCF300312	181479
DPSCF300313	181325
DPSCF300314	181092
DPSCF300315	249842
DPSCF300316	202471
DPSCF300317	177028
DPSCF300318	176205
DPSCF300319	175368
DPSCF300320	175354
DPSCF300321	174480
DPSCF300322	567976
DPSCF300323	283322
DPSCF300324	172829
DPSCF300325	285677
DPSCF300326	172211
DPSCF300327	205800
DPSCF300328	267540
DPSCF300329	292006
DPSCF300330	170151
DPSCF300331	265891
DPSCF300332	232135
DPSCF300333	166310
DPSCF300334	274899
DPSCF300335	164131
DPSCF300336	236789
DPSCF300337	252630
DPSCF300338	161917
DPSCF300339	161685
DPSCF300340	180925
DPSCF300341	260956
DPSCF300342	156936
DPSCF300343	156278
DPSCF300344	226772
DPSCF300345	359413
DPSCF300346	382612
DPSCF300347	153629
DPSCF300348	153608
DPSCF300349	182398
DPSCF300350	329303
DPSCF300351	149950
DPSCF300352	149901
DPSCF300353	149556
DPSCF300354	309650
DPSCF300355	340490
DPSCF300356	329555
DPSCF300357	144091
DPSCF300358	143449
DPSCF300359	142504
DPSCF300360	142056
DPSCF300361	141450
DPSCF300362	147290
DPSCF300363	140081
DPSCF300364	177198
DPSCF300365	137182
DPSCF300366	136527
DPSCF300367	136475
DPSCF300368	136458
DPSCF300369	135660
DPSCF300370	172181
DPSCF300371	131526
DPSCF300372	131143
DPSCF300373	141538
DPSCF300374	239086
DPSCF300375	125374
DPSCF300376	123413
DPSCF300377	121386
DPSCF300378	120142
DPSCF300379	184989
DPSCF300380	118431
DPSCF300381	118164
DPSCF300382	207969
DPSCF300383	117185
DPSCF300384	116654
DPSCF300385	115061
DPSCF300386	114134
DPSCF300387	113944
DPSCF300388	113011
DPSCF300389	112924
DPSCF300390	154252
DPSCF300391	224263
DPSCF300392	112041
DPSCF300393	162311
DPSCF300394	110929
DPSCF300395	110910
DPSCF300396	138427
DPSCF300397	115218
DPSCF300398	109687
DPSCF300399	109262
DPSCF300400	168136
DPSCF300401	213954
DPSCF300402	107858
DPSCF300403	169890
DPSCF300404	106584
DPSCF300405	106320
DPSCF300406	104823
DPSCF300407	414716
DPSCF300408	104569
DPSCF300409	180121
DPSCF300410	103743
DPSCF300411	123462
DPSCF300412	101848
DPSCF300413	160499
DPSCF300414	100977
DPSCF300415	100383
DPSCF300416	100358
DPSCF300417	98859
DPSCF300418	98611
DPSCF300419	97737
DPSCF300420	96416
DPSCF300421	95831
DPSCF300422	95392
DPSCF300423	139723
DPSCF300424	133123
DPSCF300425	94558
DPSCF300426	200888
DPSCF300427	205887
DPSCF300428	93465
DPSCF300429	93389
DPSCF300430	93260
DPSCF300431	184138
DPSCF300432	90882
DPSCF300433	89676
DPSCF300434	89231
DPSCF300435	88822
DPSCF300436	106416
DPSCF300437	86052
DPSCF300438	84239
DPSCF300439	83669
DPSCF300440	98888
DPSCF300441	83376
DPSCF300442	82733
DPSCF300443	83826
DPSCF300444	115289
DPSCF300445	79264
DPSCF300446	183974
DPSCF300447	78769
DPSCF300448	78653
DPSCF300449	76984
DPSCF300450	159269
DPSCF300451	75264
DPSCF300452	104935
DPSCF300453	86529
DPSCF300454	74617
DPSCF300455	110529
DPSCF300456	73977
DPSCF300457	73956
DPSCF300458	73280
DPSCF300459	134964
DPSCF300460	140578
DPSCF300461	82076
DPSCF300462	71887
DPSCF300463	71695
DPSCF300464	71687
DPSCF300465	71865
DPSCF300466	69912
DPSCF300467	94767
DPSCF300468	68232
DPSCF300469	68064
DPSCF300470	67629
DPSCF300471	77575
DPSCF300472	67348
DPSCF300473	65585
DPSCF300474	65565
DPSCF300475	89759
DPSCF300476	64466
DPSCF300477	77538
DPSCF300478	63575
DPSCF300479	63452
DPSCF300480	118791
DPSCF300481	62886
DPSCF300482	69408
DPSCF300483	62362
DPSCF300484	61739
DPSCF300485	60971
DPSCF300486	60402
DPSCF300487	60325
DPSCF300488	60959
DPSCF300489	59938
DPSCF300490	59937
DPSCF300491	59708
DPSCF300492	81895
DPSCF300493	75630
DPSCF300494	57200
DPSCF300495	56762
DPSCF300496	56672
DPSCF300497	56493
DPSCF300498	69275
DPSCF300499	55626
DPSCF300500	54469
DPSCF300501	82058
DPSCF300502	105483
DPSCF300503	68091
DPSCF300504	61420
DPSCF300505	53149
DPSCF300506	52894
DPSCF300507	52517
DPSCF300508	51710
DPSCF300509	50989
DPSCF300510	50626
DPSCF300511	50228
DPSCF300512	48939
DPSCF300513	48439
DPSCF300514	47590
DPSCF300515	47401
DPSCF300516	46939
DPSCF300517	46435
DPSCF300518	49954
DPSCF300519	44684
DPSCF300520	44679
DPSCF300521	43756
DPSCF300522	41775
DPSCF300523	41534
DPSCF300524	41332
DPSCF300525	73340
DPSCF300526	40549
DPSCF300527	40518
DPSCF300528	73335
DPSCF300529	40274
DPSCF300530	39976
DPSCF300531	39787
DPSCF300532	39103
DPSCF300533	39304
DPSCF300534	38009
DPSCF300535	60335
DPSCF300536	37420
DPSCF300537	37293
DPSCF300538	36852
DPSCF300539	76716
DPSCF300540	35460
DPSCF300541	34941
DPSCF300542	34311
DPSCF300543	33752
DPSCF300544	50105
DPSCF300545	33269
DPSCF300546	32706
DPSCF300547	31668
DPSCF300548	31285
DPSCF300549	35220
DPSCF300550	30626
DPSCF300551	30330
DPSCF300552	30144
DPSCF300553	30062
DPSCF300554	29448
DPSCF300555	28988
DPSCF300556	35906
DPSCF300557	28672
DPSCF300558	28575
DPSCF300559	28498
DPSCF300560	28374
DPSCF300561	27948
DPSCF300562	27853
DPSCF300563	27754
DPSCF300564	27722
DPSCF300565	43589
DPSCF300566	27092
DPSCF300567	26921
DPSCF300568	26712
DPSCF300569	44457
DPSCF300570	26398
DPSCF300571	26237
DPSCF300572	26031
DPSCF300573	25976
DPSCF300574	25745
DPSCF300575	25723
DPSCF300576	25518
DPSCF300577	29863
DPSCF300578	25102
DPSCF300579	24802
DPSCF300580	24646
DPSCF300581	24588
DPSCF300582	24232
DPSCF300583	24053
DPSCF300584	22796
DPSCF300585	51795
DPSCF300586	22577
DPSCF300587	22073
DPSCF300588	21582
DPSCF300589	20778
DPSCF300590	20393
DPSCF300591	33167
DPSCF300592	20065
DPSCF300593	19967
DPSCF300594	19955
DPSCF300595	19639
DPSCF300596	19595
DPSCF300597	44176
DPSCF300598	19486
DPSCF300599	19429
DPSCF300600	19039
DPSCF300601	19008
DPSCF300602	18974
DPSCF300603	18851
DPSCF300604	18833
DPSCF300605	18773
DPSCF300606	18772
DPSCF300607	18726
DPSCF300608	18115
DPSCF300609	18096
DPSCF300610	17846
DPSCF300611	17749
DPSCF300612	17717
DPSCF300613	17626
DPSCF300614	17579
DPSCF300615	17086
DPSCF300616	16974
DPSCF300617	16865
DPSCF300618	16777
DPSCF300619	16724
DPSCF300620	16709
DPSCF300621	16525
DPSCF300622	16486
DPSCF300623	16214
DPSCF300624	16181
DPSCF300625	16126
DPSCF300626	15900
DPSCF300627	15872
DPSCF300628	15847
DPSCF300629	15823
DPSCF300630	15821
DPSCF300631	15679
DPSCF300632	15621
DPSCF300633	15608
DPSCF300634	15278
DPSCF300635	15177
DPSCF300636	15138
DPSCF300637	14826
DPSCF300638	14740
DPSCF300639	14728
DPSCF300640	14582
DPSCF300641	14577
DPSCF300642	14574
DPSCF300643	14546
DPSCF300644	14538
DPSCF300645	14531
DPSCF300646	14497
DPSCF300647	14437
DPSCF300648	14230
DPSCF300649	14155
DPSCF300650	14056
DPSCF300651	14009
DPSCF300652	13977
DPSCF300653	13908
DPSCF300654	13845
DPSCF300655	13790
DPSCF300656	13753
DPSCF300657	13562
DPSCF300658	13552
DPSCF300659	13527
DPSCF300660	13510
DPSCF300661	13478
DPSCF300662	13457
DPSCF300663	13413
DPSCF300664	13397
DPSCF300665	13237
DPSCF300666	13222
DPSCF300667	13072
DPSCF300668	13032
DPSCF300669	12976
DPSCF300670	12937
DPSCF300671	12889
DPSCF300672	12842
DPSCF300673	12796
DPSCF300674	12766
DPSCF300675	12718
DPSCF300676	12677
DPSCF300677	12559
DPSCF300678	12548
DPSCF300679	12509
DPSCF300680	12232
DPSCF300681	12219
DPSCF300682	12141
DPSCF300683	12133
DPSCF300684	12111
DPSCF300685	12060
DPSCF300686	12023
DPSCF300687	12003
DPSCF300688	11926
DPSCF300689	11914
DPSCF300690	11846
DPSCF300691	11840
DPSCF300692	36342
DPSCF300693	11670
DPSCF300694	11573
DPSCF300695	11471
DPSCF300696	11470
DPSCF300697	11459
DPSCF300698	11358
DPSCF300699	11341
DPSCF300700	11213
DPSCF300701	11191
DPSCF300702	11170
DPSCF300703	11076
DPSCF300704	11046
DPSCF300705	10911
DPSCF300706	10796
DPSCF300707	10789
DPSCF300708	10762
DPSCF300709	10725
DPSCF300710	10720
DPSCF300711	10676
DPSCF300712	10621
DPSCF300713	10609
DPSCF300714	10558
DPSCF300715	10546
DPSCF300716	10536
DPSCF300717	10506
DPSCF300718	10503
DPSCF300719	10412
DPSCF300720	10406
DPSCF300721	10382
DPSCF300722	10357
DPSCF300723	10245
DPSCF300724	10242
DPSCF300725	10217
DPSCF300726	10154
DPSCF300727	10120
DPSCF300728	22037
DPSCF300729	9832
DPSCF300730	9772
DPSCF300731	9654
DPSCF300732	9634
DPSCF300733	9557
DPSCF300734	9514
DPSCF300735	9513
DPSCF300736	9497
DPSCF300737	9435
DPSCF300738	9427
DPSCF300739	9426
DPSCF300740	9414
DPSCF300741	9394
DPSCF300742	9369
DPSCF300743	9342
DPSCF300744	9329
DPSCF300745	9328
DPSCF300746	9303
DPSCF300747	9253
DPSCF300748	9253
DPSCF300749	9230
DPSCF300750	9227
DPSCF300751	9161
DPSCF300752	9149
DPSCF300753	9117
DPSCF300754	9109
DPSCF300755	9096
DPSCF300756	9088
DPSCF300757	9049
DPSCF300758	9039
DPSCF300759	9032
DPSCF300760	9026
DPSCF300761	8996
DPSCF300762	27305
DPSCF300763	8982
DPSCF300764	8965
DPSCF300765	8937
DPSCF300766	8915
DPSCF300767	8905
DPSCF300768	8861
DPSCF300769	8823
DPSCF300770	8806
DPSCF300771	8792
DPSCF300772	8780
DPSCF300773	8780
DPSCF300774	8767
DPSCF300775	8767
DPSCF300776	8746
DPSCF300777	8738
DPSCF300778	8732
DPSCF300779	8725
DPSCF300780	8723
DPSCF300781	27737
DPSCF300782	8687
DPSCF300783	8672
DPSCF300784	8653
DPSCF300785	8609
DPSCF300786	8604
DPSCF300787	8603
DPSCF300788	24298
DPSCF300789	8575
DPSCF300790	8566
DPSCF300791	8562
DPSCF300792	8536
DPSCF300793	8526
DPSCF300794	8524
DPSCF300795	8516
DPSCF300796	8500
DPSCF300797	8464
DPSCF300798	8461
DPSCF300799	8402
DPSCF300800	8392
DPSCF300801	8387
DPSCF300802	8381
DPSCF300803	8371
DPSCF300804	8349
DPSCF300805	8338
DPSCF300806	8310
DPSCF300807	8248
DPSCF300808	8221
DPSCF300809	8205
DPSCF300810	8178
DPSCF300811	8158
DPSCF300812	8142
DPSCF300813	8140
DPSCF300814	8129
DPSCF300815	8128
DPSCF300816	8076
DPSCF300817	24537
DPSCF300818	8022
DPSCF300819	7935
DPSCF300820	7900
DPSCF300821	7843
DPSCF300822	7839
DPSCF300823	7811
DPSCF300824	7795
DPSCF300825	7763
DPSCF300826	7716
DPSCF300827	7695
DPSCF300828	7657
DPSCF300829	7623
DPSCF300830	7596
DPSCF300831	7592
DPSCF300832	7576
DPSCF300833	7543
DPSCF300834	7476
DPSCF300835	7459
DPSCF300836	7436
DPSCF300837	7410
DPSCF300838	7362
DPSCF300839	7314
DPSCF300840	7306
DPSCF300841	7286
DPSCF300842	7269
DPSCF300843	7214
DPSCF300844	7187
DPSCF300845	7180
DPSCF300846	7178
DPSCF300847	7120
DPSCF300848	7116
DPSCF300849	7095
DPSCF300850	7045
DPSCF300851	6997
DPSCF300852	6959
DPSCF300853	6892
DPSCF300854	6888
DPSCF300855	6878
DPSCF300856	6778
DPSCF300857	6758
DPSCF300858	6697
DPSCF300859	6667
DPSCF300860	6664
DPSCF300861	6648
DPSCF300862	6630
DPSCF300863	6564
DPSCF300864	6551
DPSCF300865	6532
DPSCF300866	6513
DPSCF300867	6486
DPSCF300868	6405
DPSCF300869	6372
DPSCF300870	6359
DPSCF300871	6357
DPSCF300872	6346
DPSCF300873	6333
DPSCF300874	6331
DPSCF300875	6318
DPSCF300876	6316
DPSCF300877	6303
DPSCF300878	6286
DPSCF300879	6265
DPSCF300880	6220
DPSCF300881	6192
DPSCF300882	6189
DPSCF300883	6140
DPSCF300884	6112
DPSCF300885	6106
DPSCF300886	6063
DPSCF300887	6049
DPSCF300888	6008
DPSCF300889	5981
DPSCF300890	5976
DPSCF300891	5973
DPSCF300892	5972
DPSCF300893	5950
DPSCF300894	5948
DPSCF300895	5932
DPSCF300896	5865
DPSCF300897	5860
DPSCF300898	5851
DPSCF300899	5846
DPSCF300900	5840
DPSCF300901	5832
DPSCF300902	5829
DPSCF300903	5770
DPSCF300904	5764
DPSCF300905	5758
DPSCF300906	5748
DPSCF300907	5716
DPSCF300908	5678
DPSCF300909	5673
DPSCF300910	5666
DPSCF300911	5664
DPSCF300912	5660
DPSCF300913	5657
DPSCF300914	5640
DPSCF300915	5628
DPSCF300916	5625
DPSCF300917	5607
DPSCF300918	5592
DPSCF300919	5583
DPSCF300920	5582
DPSCF300921	5575
DPSCF300922	5574
DPSCF300923	5569
DPSCF300924	5566
DPSCF300925	5545
DPSCF300926	5541
DPSCF300927	5535
DPSCF300928	5534
DPSCF300929	5527
DPSCF300930	5522
DPSCF300931	5521
DPSCF300932	24334
DPSCF300933	5504
DPSCF300934	5489
DPSCF300935	5488
DPSCF300936	5479
DPSCF300937	5477
DPSCF300938	5460
DPSCF300939	5458
DPSCF300940	5442
DPSCF300941	5437
DPSCF300942	5420
DPSCF300943	5415
DPSCF300944	5414
DPSCF300945	5413
DPSCF300946	5413
DPSCF300947	5401
DPSCF300948	5399
DPSCF300949	5394
DPSCF300950	5392
DPSCF300951	5390
DPSCF300952	5389
DPSCF300953	5364
DPSCF300954	5361
DPSCF300955	5344
DPSCF300956	5340
DPSCF300957	5338
DPSCF300958	5336
DPSCF300959	5331
DPSCF300960	5330
DPSCF300961	5303
DPSCF300962	5300
DPSCF300963	5298
DPSCF300964	5297
DPSCF300965	5293
DPSCF300966	5290
DPSCF300967	5289
DPSCF300968	5279
DPSCF300969	5278
DPSCF300970	5278
DPSCF300971	5259
DPSCF300972	5233
DPSCF300973	5224
DPSCF300974	5205
DPSCF300975	5198
DPSCF300976	5190
DPSCF300977	5184
DPSCF300978	5183
DPSCF300979	5173
DPSCF300980	5171
DPSCF300981	5170
DPSCF300982	5139
DPSCF300983	5138
DPSCF300984	5130
DPSCF300985	5125
DPSCF300986	5118
DPSCF300987	5100
DPSCF300988	5098
DPSCF300989	5095
DPSCF300990	5087
DPSCF300991	5083
DPSCF300992	5068
DPSCF300993	5057
DPSCF300994	5056
DPSCF300995	5056
DPSCF300996	5047
DPSCF300997	5042
DPSCF300998	5035
DPSCF300999	5032
DPSCF301000	5030
DPSCF301001	5030
DPSCF301002	5014
DPSCF301003	5014
DPSCF301004	5009
DPSCF301005	5006
DPSCF301006	5006
DPSCF301007	5002
DPSCF301008	4983
DPSCF301009	4980
DPSCF301010	4974
DPSCF301011	4946
DPSCF301012	4941
DPSCF301013	4941
DPSCF301014	4940
DPSCF301015	4938
DPSCF301016	4938
DPSCF301017	4934
DPSCF301018	4930
DPSCF301019	4929
DPSCF301020	4926
DPSCF301021	4924
DPSCF301022	4918
DPSCF301023	4916
DPSCF301024	4912
DPSCF301025	4907
DPSCF301026	4898
DPSCF301027	4896
DPSCF301028	4890
DPSCF301029	4885
DPSCF301030	4883
DPSCF301031	4879
DPSCF301032	4879
DPSCF301033	4877
DPSCF301034	4877
DPSCF301035	4877
DPSCF301036	4876
DPSCF301037	4872
DPSCF301038	4870
DPSCF301039	4868
DPSCF301040	4863
DPSCF301041	4863
DPSCF301042	4860
DPSCF301043	4856
DPSCF301044	4852
DPSCF301045	4849
DPSCF301046	4844
DPSCF301047	4843
DPSCF301048	4840
DPSCF301049	4833
DPSCF301050	4823
DPSCF301051	4816
DPSCF301052	4812
DPSCF301053	4805
DPSCF301054	4794
DPSCF301055	4794
DPSCF301056	4792
DPSCF301057	4792
DPSCF301058	4781
DPSCF301059	4781
DPSCF301060	4781
DPSCF301061	4774
DPSCF301062	4768
DPSCF301063	4763
DPSCF301064	4747
DPSCF301065	4746
DPSCF301066	4743
DPSCF301067	4742
DPSCF301068	4740
DPSCF301069	4735
DPSCF301070	4730
DPSCF301071	4728
DPSCF301072	4726
DPSCF301073	4725
DPSCF301074	4725
DPSCF301075	4723
DPSCF301076	4718
DPSCF301077	4715
DPSCF301078	4713
DPSCF301079	4712
DPSCF301080	4712
DPSCF301081	4711
DPSCF301082	4705
DPSCF301083	4700
DPSCF301084	4695
DPSCF301085	4693
DPSCF301086	4692
DPSCF301087	4690
DPSCF301088	4675
DPSCF301089	4674
DPSCF301090	4671
DPSCF301091	4671
DPSCF301092	4668
DPSCF301093	4667
DPSCF301094	4665
DPSCF301095	4659
DPSCF301096	4647
DPSCF301097	4646
DPSCF301098	4639
DPSCF301099	4637
DPSCF301100	4634
DPSCF301101	4633
DPSCF301102	4626
DPSCF301103	4625
DPSCF301104	4614
DPSCF301105	4612
DPSCF301106	4610
DPSCF301107	4608
DPSCF301108	4607
DPSCF301109	4592
DPSCF301110	4591
DPSCF301111	4590
DPSCF301112	4589
DPSCF301113	4586
DPSCF301114	4584
DPSCF301115	4581
DPSCF301116	4577
DPSCF301117	4576
DPSCF301118	4570
DPSCF301119	4564
DPSCF301120	4562
DPSCF301121	4555
DPSCF301122	4554
DPSCF301123	4552
DPSCF301124	4552
DPSCF301125	4547
DPSCF301126	4547
DPSCF301127	4535
DPSCF301128	4535
DPSCF301129	4533
DPSCF301130	4530
DPSCF301131	4529
DPSCF301132	4515
DPSCF301133	4510
DPSCF301134	4507
DPSCF301135	4507
DPSCF301136	4503
DPSCF301137	4499
DPSCF301138	4494
DPSCF301139	4492
DPSCF301140	4484
DPSCF301141	4479
DPSCF301142	4468
DPSCF301143	4466
DPSCF301144	4463
DPSCF301145	4460
DPSCF301146	4459
DPSCF301147	4458
DPSCF301148	4441
DPSCF301149	4437
DPSCF301150	4437
DPSCF301151	4436
DPSCF301152	4434
DPSCF301153	4432
DPSCF301154	4424
DPSCF301155	4423
DPSCF301156	4421
DPSCF301157	4406
DPSCF301158	4391
DPSCF301159	4389
DPSCF301160	4386
DPSCF301161	4382
DPSCF301162	4371
DPSCF301163	4351
DPSCF301164	4346
DPSCF301165	4341
DPSCF301166	4338
DPSCF301167	4333
DPSCF301168	4332
DPSCF301169	4331
DPSCF301170	4330
DPSCF301171	4324
DPSCF301172	4317
DPSCF301173	4314
DPSCF301174	4296
DPSCF301175	4284
DPSCF301176	4273
DPSCF301177	4270
DPSCF301178	4268
DPSCF301179	4260
DPSCF301180	4247
DPSCF301181	4247
DPSCF301182	4247
DPSCF301183	4236
DPSCF301184	4232
DPSCF301185	4226
DPSCF301186	4223
DPSCF301187	4219
DPSCF301188	4211
DPSCF301189	4211
DPSCF301190	4208
DPSCF301191	4206
DPSCF301192	4194
DPSCF301193	4193
DPSCF301194	4192
DPSCF301195	4191
DPSCF301196	4189
DPSCF301197	4185
DPSCF301198	4174
DPSCF301199	4173
DPSCF301200	4166
DPSCF301201	4157
DPSCF301202	4146
DPSCF301203	4144
DPSCF301204	4135
DPSCF301205	4133
DPSCF301206	4131
DPSCF301207	4126
DPSCF301208	4124
DPSCF301209	4122
DPSCF301210	4122
DPSCF301211	4121
DPSCF301212	4107
DPSCF301213	4093
DPSCF301214	4087
DPSCF301215	4081
DPSCF301216	4074
DPSCF301217	4062
DPSCF301218	4062
DPSCF301219	4056
DPSCF301220	4046
DPSCF301221	4044
DPSCF301222	4043
DPSCF301223	4029
DPSCF301224	4029
DPSCF301225	4028
DPSCF301226	4021
DPSCF301227	4019
DPSCF301228	4010
DPSCF301229	4005
DPSCF301230	4005
DPSCF301231	4004
DPSCF301232	4004
DPSCF301233	4002
DPSCF301234	4001
DPSCF301235	3995
DPSCF301236	3994
DPSCF301237	3984
DPSCF301238	3984
DPSCF301239	3969
DPSCF301240	3965
DPSCF301241	3958
DPSCF301242	3958
DPSCF301243	3947
DPSCF301244	3947
DPSCF301245	3941
DPSCF301246	3939
DPSCF301247	3939
DPSCF301248	3935
DPSCF301249	3932
DPSCF301250	3931
DPSCF301251	3931
DPSCF301252	3928
DPSCF301253	3920
DPSCF301254	3917
DPSCF301255	3915
DPSCF301256	3914
DPSCF301257	3914
DPSCF301258	3913
DPSCF301259	3912
DPSCF301260	3911
DPSCF301261	3910
DPSCF301262	3910
DPSCF301263	3909
DPSCF301264	3902
DPSCF301265	3899
DPSCF301266	3898
